store,address,phone,address2
학동역 DT점,서울시 강남구 학동로 211 1층  ,02-3444-9973,서울특별시 강남구 학동로 211 1층
수서점,서울시 강남구 광평로 280 수서동 724호  ,02-3412-2326,서울특별시 강남구 광평로 280 수서동 724호
차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층
강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778,서울특별시 서초구 강남대로 369 1층
메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층  ,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층
압구정에스점,서울시 강남구 압구정로 46길 3  ,02-541-5832,서울특별시 강남구 압구정로 46길 3
강남에스점,서울시 서초구 서초 1306-3호  ,02-593-5095,서울특별시 서초구 서초 1306-3호
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호"
신사점,서울시 강남구 도산대로 126  ,02-548-2741,서울특별시 강남구 도산대로 126
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층
역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층"
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층
영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호"
영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층"
공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층  ,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층
교대점,서울시 서초구 서초중앙로 118  1층  ,02-585-3981,서울특별시 서초구 서초중앙로 118 1층
대치한티점,서울시 강남구 선릉로 64길 23 1층  ,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호"
